Table;Column name;Column type;Description
bodyStyle;bodyStyle_id; long (nullable = true);identity key
;frame_id; integer (nullable = true);same frame could have 1 or 1+ car
;Name; string (nullable = true);body style name (bus, van, suv ..)
;Confidence; double (nullable = true);the percent (%) of the confidence of the Vehicule Body Style Recognition(VBSR)
;createDateTime; timestamp (nullable = true);creation date (timestamp)
car;car_id; long (nullable = true);identity key
;frame_id; integer (nullable = true);same frame could have 1 or 1+ car
;color; string (nullable = true);color name
;bodyStyle; string (nullable = true);body style name (bus, van, suv ..)
;plateText; string (nullable = true);the licence plate text
;make; string (nullable = true);the percent (%) confidence of the Vehicule Make Model Recognition (VMMR)
;warpedBoxV1; double (nullable = true);warped box value 1 for car recognition
;warpedBoxV2; double (nullable = true);warped box value 2 for car recognition
;warpedBoxV3; double (nullable = true);warped box value 5 for car recognition
;warpedBoxV4; double (nullable = true);warped box value 6 for car recognition
;createDateTime; timestamp (nullable = true);creation date (timestamp)
color;color_id; long (nullable = true);identity key
;frame_id; integer (nullable = true);same frame could have 1 or 1+ car
;Name; string (nullable = true);color name
;Confidence; double (nullable = true);the percent (%) of the confidence of the Vehicule Color Recognition (VCR)
;createDateTime; timestamp (nullable = true);creation date (timestamp)
Country;country_id; long (nullable = true);identity key
;frame_id; integer (nullable = true);same frame can have 1 or 1+ car
;country; string (nullable = true);country name of the plate
;countryState; string (nullable = true);country state
;countryCode; string (nullable = true);country code
;countryConfidence; double (nullable = true);the percent (%) of the confidence of the Licence Plate Country Identification (LPCI)
;createDateTime; timestamp (nullable = true);creation date (timestamp)
makeModelYear;makeModelYear_id; long (nullable = true);identity key
;frame_id; integer (nullable = true);same frame could have 1 or 1+ car
;model; double (nullable = true);name of the model (gle, golf, clio …)
;make; string (nullable = true);the percent (%) confidence of the Vehicule Make Model Recognition (VMMR)
;year; string (nullable = true);car marke by bmw, renault, audi ...
;Confidence; string (nullable = true);year of made
;createDateTime; timestamp (nullable = true);creation date (timestamp)
plate;plate_id; long (nullable = true);primary key
;frame_id; integer (nullable = true);same frame could have 1 or 1+ car
;countryName; string (nullable = true);country name of the plate
;plateText; string (nullable = true);the licence plate text
;warpedBoxV0; double (nullable = true);warped box value 1 for car recognition
;warpedBoxV1; double (nullable = true);warped box value 2 for car recognition
;warpedBoxV4; double (nullable = true);warped box value 5 for car recognition
;warpedBoxV5; double (nullable = true);warped box value 6 for car recognition
;globalConfidencev1; double (nullable = true);global confidence of the recognition of the plate (first value)
;globalConfidencev2; double (nullable = true);global confidence of the recognition of the plate (second value)
;createDateTime; timestamp (nullable = true);creation date (timestamp)
